#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-rice-name	rice-symbol	rice-defline
37401853	AT1G01010	AT1G01010.1	AT1G01010.1	PF02365	PTHR31989,PTHR31989:SF5				GO:0006355,GO:0003677	LOC_Os08g44820.1		no apical meristem protein, putative, expressed
37399351	AT1G01020	AT1G01020.1	AT1G01020.1	PF04161	PTHR14467	KOG3134				LOC_Os03g57090.1		arv1, putative, expressed
37399355	AT1G01020	AT1G01020.2	AT1G01020.2	PF04161	PTHR14467	KOG3134				LOC_Os03g57090.1		arv1, putative, expressed
37399353	AT1G01020	AT1G01020.3	AT1G01020.3	PF04161	PTHR14467	KOG3134				LOC_Os03g57090.1		arv1, putative, expressed
37399352	AT1G01020	AT1G01020.4	AT1G01020.4	PF04161	PTHR14467	KOG3134				LOC_Os03g57090.1		arv1, putative, expressed
37399354	AT1G01020	AT1G01020.5	AT1G01020.5	PF04161	PTHR14467	KOG3134				LOC_Os03g57090.1		arv1, putative, expressed
37399356	AT1G01020	AT1G01020.6	AT1G01020.6	PF04161								
37391937	AT1G01030	AT1G01030.1	AT1G01030.1	PF02362	PTHR31140,PTHR31140:SF4				GO:0003677	LOC_Os03g02900.1		B3 DNA binding domain containing protein, expressed
37391938	AT1G01030	AT1G01030.2	AT1G01030.2	PF02362	PTHR31140,PTHR31140:SF4				GO:0003677	LOC_Os03g02900.1		B3 DNA binding domain containing protein, expressed
37395708	AT1G01040	AT1G01040.1	AT1G01040.1	PF04851,PF14709,PF00271,PF00035,PF03368,PF02170,PF00636	PTHR14950,PTHR14950:SF3		3.1.26.3	K11592	GO:0016787,GO:0005524,GO:0003677,GO:0016891,GO:0005515,GO:0006396,GO:0004525,GO:0003723	LOC_Os03g02970.1		Dicer, putative, expressed
37395707	AT1G01040	AT1G01040.2	AT1G01040.2	PF04851,PF14709,PF00271,PF00035,PF03368,PF02170,PF00636	PTHR14950,PTHR14950:SF3		3.1.26.3	K11592	GO:0016787,GO:0005524,GO:0003677,GO:0016891,GO:0005515,GO:0006396,GO:0004525,GO:0003723	LOC_Os03g02970.1		Dicer, putative, expressed
37396444	AT1G01050	AT1G01050.1	AT1G01050.1	PF00719	PTHR10286,PTHR10286:SF10	KOG1626	3.6.1.1	K01507	GO:0006796,GO:0005737,GO:0004427,GO:0000287	LOC_Os05g36260.1		soluble inorganic pyrophosphatase, putative, expressed
37396445	AT1G01050	AT1G01050.2	AT1G01050.2	PF00719	PTHR10286,PTHR10286:SF10	KOG1626	3.6.1.1	K01507	GO:0006796,GO:0005737,GO:0004427,GO:0000287	LOC_Os05g36260.1		soluble inorganic pyrophosphatase, putative, expressed
37396071	AT1G01060	AT1G01060.1	AT1G01060.1	PF00249	PTHR12802,PTHR12802:SF43			K12133		LOC_Os08g06110.3		MYB family transcription factor, putative, expressed
37396073	AT1G01060	AT1G01060.2	AT1G01060.2	PF00249	PTHR12802,PTHR12802:SF43			K12133		LOC_Os08g06110.5		MYB family transcription factor, putative, expressed
37396070	AT1G01060	AT1G01060.3	AT1G01060.3	PF00249	PTHR12802,PTHR12802:SF43			K12133		LOC_Os08g06110.4		MYB family transcription factor, putative, expressed
37396075	AT1G01060	AT1G01060.4	AT1G01060.4	PF00249	PTHR12802,PTHR12802:SF43			K12133		LOC_Os08g06110.4		MYB family transcription factor, putative, expressed
37396077	AT1G01060	AT1G01060.5	AT1G01060.5		PTHR12802,PTHR12802:SF43					LOC_Os08g06110.4		MYB family transcription factor, putative, expressed
37396076	AT1G01060	AT1G01060.6	AT1G01060.6		PTHR12802,PTHR12802:SF43					LOC_Os08g06110.5		MYB family transcription factor, putative, expressed
37396072	AT1G01060	AT1G01060.7	AT1G01060.7	PF00249	PTHR12802,PTHR12802:SF43			K12133		LOC_Os08g06110.5		MYB family transcription factor, putative, expressed
37396074	AT1G01060	AT1G01060.8	AT1G01060.8	PF00249	PTHR12802,PTHR12802:SF43			K12133		LOC_Os08g06110.3		MYB family transcription factor, putative, expressed
37393428	AT1G01070	AT1G01070.1	AT1G01070.1	PF00892	PTHR31218,PTHR31218:SF10				GO:0016021,GO:0016020,GO:0022857	LOC_Os02g01326.1		auxin-induced protein 5NG4, putative, expressed
37393429	AT1G01070	AT1G01070.2	AT1G01070.2	PF00892	PTHR31218,PTHR31218:SF10				GO:0016021,GO:0016020,GO:0022857	LOC_Os02g01326.1		auxin-induced protein 5NG4, putative, expressed
37393903	AT1G01080	AT1G01080.1	AT1G01080.1	PF00076	PTHR24012	KOG0131,KOG0146			GO:0003676	LOC_Os08g02390.1		RNA recognition motif containing protein, putative, expressed
37393902	AT1G01080	AT1G01080.2	AT1G01080.2	PF00076	PTHR24012	KOG0131			GO:0003676	LOC_Os08g02390.1		RNA recognition motif containing protein, putative, expressed
37393904	AT1G01080	AT1G01080.3	AT1G01080.3	PF00076	PTHR24012	KOG0131			GO:0003676	LOC_Os08g02390.1		RNA recognition motif containing protein, putative, expressed
37392605	AT1G01090	AT1G01090.1	AT1G01090.1	PF02775	PTHR11516,PTHR11516:SF25		1.2.4.1	K00161	GO:0030976,GO:0003824	LOC_Os04g02900.1		dehydrogenase E1 component domain containing protein, expressed
37402690	AT1G01100	AT1G01100.1	AT1G01100.1	PF00428	PTHR21141	KOG1762		K02942		LOC_Os08g02340.1		60S acidic ribosomal protein, putative, expressed
37402689	AT1G01100	AT1G01100.2	AT1G01100.2	PF00428	PTHR21141	KOG1762		K02942		LOC_Os08g02340.2		60S acidic ribosomal protein, putative, expressed
37402692	AT1G01100	AT1G01100.3	AT1G01100.3	PF00428	PTHR21141	KOG1762		K02942		LOC_Os08g02340.1		60S acidic ribosomal protein, putative, expressed
37402691	AT1G01100	AT1G01100.4	AT1G01100.4	PF00428	PTHR21141	KOG1762		K02942		LOC_Os08g02340.1		60S acidic ribosomal protein, putative, expressed
37403448	AT1G01110	AT1G01110.1	AT1G01110.1	PF13178	PTHR32295,PTHR32295:SF0					LOC_Os08g02250.1		IQ calmodulin-binding motif domain containing protein, expressed
37403447	AT1G01110	AT1G01110.2	AT1G01110.2	PF00612,PF13178	PTHR32295,PTHR32295:SF0				GO:0005515	LOC_Os08g02250.1		IQ calmodulin-binding motif domain containing protein, expressed
37399511	AT1G01120	AT1G01120.1	AT1G01120.1	PF08541,PF08392	PTHR31561,PTHR31561:SF1		2.3.1.199,2.3.1.119	K15397	GO:0016747,GO:0008610,GO:0016020,GO:0006633	LOC_Os03g14170.1		3-ketoacyl-CoA synthase, putative, expressed
37397289	AT1G01130	AT1G01130.1	AT1G01130.1		PTHR24347,PTHR24347:SF140		2.7.11.1			LOC_Os03g03510.1		CAMK_KIN1/SNF1/Nim1_like.15 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
37397027	AT1G01140	AT1G01140.1	AT1G01140.1	PF14531,PF03822	PTHR24347,PTHR24347:SF140	KOG0583	2.7.11.1	K07198	GO:0007165	LOC_Os03g03510.1		CAMK_KIN1/SNF1/Nim1_like.15 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
37397026	AT1G01140	AT1G01140.2	AT1G01140.2	PF14531,PF03822	PTHR24347,PTHR24347:SF140	KOG0583	2.7.11.1	K07198	GO:0007165	LOC_Os03g03510.1		CAMK_KIN1/SNF1/Nim1_like.15 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
37397025	AT1G01140	AT1G01140.3	AT1G01140.3	PF14531,PF03822	PTHR24347,PTHR24347:SF140	KOG0583	2.7.11.1	K07198	GO:0007165	LOC_Os03g03510.1		CAMK_KIN1/SNF1/Nim1_like.15 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
37391764	AT1G01150	AT1G01150.1	AT1G01150.1		PTHR21717,PTHR21717:SF18					LOC_Os11g29240.1		expressed protein
37391765	AT1G01150	AT1G01150.2	AT1G01150.2									
37391766	AT1G01150	AT1G01150.3	AT1G01150.3		PTHR21717,PTHR21717:SF18					LOC_Os11g29240.1		expressed protein
37398243	AT1G01160	AT1G01160.1	AT1G01160.1	PF05030	PTHR23107	KOG3227				LOC_Os11g40100.3		GRF-interacting factor 2, putative, expressed
37398242	AT1G01160	AT1G01160.2	AT1G01160.2	PF05030	PTHR23107	KOG3227				LOC_Os11g40100.3		GRF-interacting factor 2, putative, expressed
37391866	AT1G01170	AT1G01170.1	AT1G01170.1	PF06592	PTHR34267,PTHR34267:SF1					LOC_Os06g02420.1		ATOZI1, putative, expressed
37391865	AT1G01170	AT1G01170.2	AT1G01170.2	PF06592	PTHR34267,PTHR34267:SF1					LOC_Os06g02420.1		ATOZI1, putative, expressed
37398482	AT1G01180	AT1G01180.1	AT1G01180.1	PF13578	PTHR10509,PTHR10509:SF17				GO:0008171	LOC_Os09g34320.1		expressed protein
